Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Julius Randle,26,NYK,PF,71,71,2667,11.3,24.8,0.456,3.0,7.3,0.411,8.3,17.5,0.474,0.516,6.5,8.0,0.811,1.6,12.0,13.6,8.0,1.2,0.3,4.5,4.2,32.1,111.0,107,MVP-8MIP-1ASNBA2,randlju01,19.7,0.567,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9
2,RJ Barrett,20,NYK,SG,72,72,2511,9.3,21.1,0.441,2.5,6.2,0.401,6.8,15.0,0.457,0.499,4.1,5.5,0.746,1.4,6.9,8.2,4.3,1.1,0.4,2.8,3.7,25.2,106.0,110,,barrerj01,13.4,0.535,0.292,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5
3,Nikola Jokić,25,DEN,C,72,72,2488,14.5,25.7,0.566,1.8,4.7,0.388,12.7,21.0,0.606,0.602,6.8,7.8,0.868,4.1,11.4,15.5,11.9,1.9,1.0,4.4,3.8,37.7,130.0,109,MVP-1ASNBA1,jokicni01,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8
4,Buddy Hield,28,SAC,SG,71,71,2433,8.0,19.6,0.406,5.6,14.2,0.391,2.4,5.3,0.446,0.548,1.7,2.1,0.846,0.6,6.0,6.6,5.1,1.2,0.6,2.6,3.5,23.2,109.0,119,,hieldbu01,12.8,0.567,0.727,0.105,1.3,14.1,7.6,14.7,1.2,1.0,11.1,20.7,1.5,0.7,2.2,0.044,1.0,-1.6,-0.6,0.9
5,Damian Lillard,30,POR,PG,67,67,2398,12.2,27.1,0.451,5.6,14.3,0.391,6.7,12.8,0.519,0.554,9.1,9.8,0.928,0.7,5.1,5.8,10.3,1.3,0.3,4.1,2.1,39.2,125.0,118,MVP-7ASNBA2,lillada01,25.6,0.623,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,0.209,7.5,-1.3,6.3,5.0
6,Terry Rozier,26,CHO,SG,69,69,2383,10.5,23.2,0.45,4.5,11.7,0.389,5.9,11.5,0.512,0.548,3.4,4.1,0.817,1.0,5.2,6.2,6.0,1.8,0.5,2.6,2.4,28.8,113.0,114,,roziete01,17.1,0.575,0.504,0.178,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,3.3,2.0,5.2,0.105,2.2,-0.5,1.6,2.2
7,Russell Westbrook,32,WAS,PG,65,65,2369,10.6,24.1,0.439,1.7,5.3,0.315,8.9,18.8,0.475,0.474,5.3,8.0,0.656,2.1,12.5,14.6,14.9,1.7,0.4,6.1,3.7,28.1,105.0,110,MVP-11,westbru01,19.5,0.509,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,0.5,3.2,3.7,0.075,2.6,1.1,3.7,3.4
8,Andrew Wiggins,25,GSW,PF,71,71,2364,10.0,21.0,0.477,2.8,7.3,0.38,7.3,13.7,0.529,0.543,3.4,4.7,0.714,1.6,5.3,6.9,3.3,1.3,1.4,2.5,3.2,26.2,107.0,111,,wiggian01,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,0.0,-0.4,-0.4,1.0
9,Mikal Bridges,24,PHO,SF,72,72,2348,7.6,14.1,0.543,2.8,6.6,0.425,4.8,7.4,0.647,0.643,2.3,2.8,0.84,1.6,4.9,6.5,3.2,1.6,1.3,1.2,2.4,20.4,131.0,112,,bridgmi01,16.4,0.667,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,0.164,2.4,0.9,3.3,3.1
10,Nikola Vučević,30,2TM,C,70,70,2348,13.8,28.9,0.477,3.6,9.1,0.4,10.1,19.8,0.513,0.54,2.7,3.2,0.84,3.0,13.9,16.9,5.6,1.3,1.0,2.6,2.8,33.9,112.0,110,AS,vucevni01,22.9,0.56,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,3.3,3.0,6.3,0.129,4.9,0.4,5.3,4.4
